Order_ID,Order_Date,Customer_ID,Customer_Name,Region,State,Product_Category,Sub_Category,Sales,Profit,Quantity
ORD11728,2022-01-01,CUST1000,Sunil Malhotra,West,Goa,Electronics,TVs,39628.33,2504.82,3
ORD11028,2022-01-02,CUST1067,Kavya Mehta,North,Uttar Pradesh,Office Supplies,Pens & Pencils,1279.32,-202.11,4
ORD11356,2022-01-03,CUST1245,Sneha More,West,Gujarat,Office Supplies,Art Supplies,3774.99,802.16,1
ORD10065,2022-01-04,CUST1005,Ayaan Das,South,Tamil Nadu,Electronics,TVs,41723.97,4777.66,6
ORD10668,2022-01-04,CUST1223,Sita Arora,West,Maharashtra,Electronics,Accessories,3080.54,676.8,2
ORD12243,2022-01-06,CUST1152,Savita Mukherjee,North,Rajasthan,Furniture,Storage,4539.9,543.91,3
ORD12436,2022-01-07,CUST1215,Lalita Sharma,South,Kerala,Furniture,Tables,13217.78,1118.06,1
ORD10612,2022-01-08,CUST1069,Kiran Shah,West,Gujarat,Office Supplies,Art Supplies,1492.0,338.48,1
ORD11865,2022-01-08,CUST1245,Sneha More,West,Gujarat,Electronics,TVs,48324.44,2435.17,4
ORD12279,2022-01-09,CUST1157,Yash Khanna,Central,Chhattisgarh,Electronics,Laptops,33603.53,-3005.97,5
ORD11900,2022-01-10,CUST1000,Sunil Malhotra,West,Goa,Furniture,Tables,15301.97,1149.02,4
ORD11001,2022-01-11,CUST1137,Anjali Chatterjee,East,Jharkhand,Office Supplies,Pens & Pencils,817.36,198.68,2
ORD11764,2022-01-12,CUST1003,Krishna Choudhary,South,Kerala,Furniture,Tables,14147.63,690.74,1
ORD11829,2022-01-12,CUST1013,Yash Pawar,West,Gujarat,Office Supplies,Envelopes,500,108.92,1
ORD10215,2022-01-13,CUST1028,Rohan Srivastava,East,Odisha,Furniture,Tables,24795.4,1343.41,5
ORD10994,2022-01-13,CUST1194,Ruchi Patel,East,Odisha,Office Supplies,Paper,667.25,61.92,2
ORD12025,2022-01-13,CUST1001,Varun Iyer,East,Assam,Office Supplies,Paper,1582.87,222.28,4
ORD12223,2022-01-14,CUST1218,Gaurav Mishra,South,Andhra Pradesh,Electronics,Tablets,18644.83,1665.51,1
ORD12480,2022-01-14,CUST1050,Ruchi Sharma,West,Goa,Electronics,Phones,24154.93,2669.88,8
ORD11223,2022-01-15,CUST1190,Vikram Desai,East,Jharkhand,Electronics,TVs,36897.33,3062.68,1
ORD11296,2022-01-15,CUST1189,Aryan Pandey,East,Assam,Furniture,Bookcases,4530.25,499.35,1
ORD11625,2022-01-17,CUST1224,Preeti More,West,Gujarat,Electronics,Tablets,35655.29,2585.42,2
ORD12505,2022-01-17,CUST1184,Rajesh Philip,West,Maharashtra,Furniture,Chairs,11475.02,1335.05,2
ORD11487,2022-01-20,CUST1103,Rahul Kapoor,West,Maharashtra,Electronics,Laptops,31995.72,2104.13,5
ORD11612,2022-01-21,CUST1242,Suresh Gupta,South,Kerala,Office Supplies,Fasteners,538.67,126.56,7
ORD11996,2022-01-21,CUST1014,Ishaan Rao,Central,Chhattisgarh,Office Supplies,Envelopes,658.11,160.45,1
ORD12163,2022-01-21,CUST1136,Aarav Thomas,West,Gujarat,Office Supplies,Labels,723.03,102.91,6
ORD10481,2022-01-22,CUST1168,Pranav Tiwari,West,Gujarat,Electronics,TVs,26593.71,2148.77,1
ORD11601,2022-01-22,CUST1057,Sneha Gupta,South,Karnataka,Office Supplies,Paper,667.8,113.92,4
ORD10817,2022-01-23,CUST1051,Vishal Reddy,South,Telangana,Electronics,TVs,20823.45,1462.62,1
ORD11521,2022-01-23,CUST1033,Vikram Shah,North,Haryana,Office Supplies,Envelopes,662.07,124.24,1
ORD11731,2022-01-24,CUST1094,Usha Shinde,South,Andhra Pradesh,Furniture,Bookcases,17129.42,1407.72,1
ORD10907,2022-01-25,CUST1234,Pankaj Mane,South,Kerala,Furniture,Chairs,5505.84,502.85,1
ORD10403,2022-01-27,CUST1069,Kiran Shah,West,Gujarat,Office Supplies,Art Supplies,1787.01,221.89,4
ORD10644,2022-01-27,CUST1127,Isha Dubey,West,Gujarat,Electronics,Accessories,647.92,115.59,5
ORD11265,2022-01-28,CUST1141,Kamla Khanna,South,Andhra Pradesh,Electronics,Accessories,2488.18,535.36,4
ORD11763,2022-01-28,CUST1153,Ananya Saxena,East,Assam,Office Supplies,Binders,1913.59,571.82,1
ORD11933,2022-01-28,CUST1015,Sanjay Malhotra,West,Gujarat,Electronics,Tablets,25179.26,3077.39,3
ORD12058,2022-01-28,CUST1179,Rajesh Shukla,West,Gujarat,Office Supplies,Art Supplies,1528.29,-298.68,7
ORD12219,2022-01-28,CUST1107,Nikhil Bansal,Central,Madhya Pradesh,Electronics,Accessories,4728.6,1100.93,1
ORD10032,2022-01-29,CUST1075,Karan Sethi,South,Tamil Nadu,Electronics,Tablets,15817.77,1964.11,1
ORD10108,2022-01-29,CUST1027,Suresh Malhotra,North,Himachal Pradesh,Office Supplies,Labels,833.06,229.72,2
ORD11363,2022-01-29,CUST1157,Yash Khanna,Central,Chhattisgarh,Office Supplies,Art Supplies,1884.46,240.7,1
ORD11608,2022-01-29,CUST1208,Mohan Goel,East,Bihar,Furniture,Bookcases,9561.37,245.18,3
ORD11656,2022-01-29,CUST1140,Krishna Das,West,Goa,Furniture,Sofas,21946.55,-1127.55,1
ORD11717,2022-01-29,CUST1108,Ananya Agarwal,West,Goa,Office Supplies,Binders,2379.23,-66.88,2
ORD10802,2022-01-30,CUST1083,Manoj Pillai,South,Andhra Pradesh,Electronics,Tablets,17819.91,1374.17,2
ORD12256,2022-01-30,CUST1112,Vishal Agarwal,South,Kerala,Electronics,Phones,26765.13,2740.83,5
ORD10050,2022-01-31,CUST1165,Sai Sharma,North,Uttar Pradesh,Electronics,TVs,23255.35,2010.92,2
ORD10416,2022-01-31,CUST1015,Sanjay Malhotra,West,Gujarat,Electronics,Laptops,43260.11,-3125.44,8
ORD10932,2022-01-31,CUST1012,Rakesh Bansal,South,Kerala,Office Supplies,Labels,593.51,208.66,1
ORD10947,2022-01-31,CUST1218,Gaurav Mishra,South,Andhra Pradesh,Office Supplies,Binders,1707.66,371.29,1
ORD12311,2022-01-31,CUST1104,Anil Desai,North,Delhi,Office Supplies,Paper,988.84,-113.21,1
ORD10509,2022-02-01,CUST1208,Mohan Goel,East,Bihar,Furniture,Chairs,6991.66,684.14,5
ORD10887,2022-02-01,CUST1226,Rohit Sharma,West,Maharashtra,Furniture,Sofas,23407.82,2382.54,2
ORD11328,2022-02-02,CUST1014,Ishaan Rao,Central,Chhattisgarh,Office Supplies,Paper,716.59,118.47,2
ORD10184,2022-02-03,CUST1220,Arjun George,Central,Chhattisgarh,Office Supplies,Envelopes,1086.63,113.32,1
ORD10603,2022-02-04,CUST1012,Rakesh Bansal,South,Kerala,Office Supplies,Paper,881.39,157.62,1
ORD12072,2022-02-05,CUST1167,Pankaj Sen,South,Karnataka,Electronics,Tablets,24388.92,2164.62,3
ORD12220,2022-02-08,CUST1244,Lata Saxena,West,Gujarat,Office Supplies,Envelopes,851.63,120.53,3
ORD12587,2022-02-08,CUST1220,Arjun George,Central,Chhattisgarh,Furniture,Chairs,10452.47,1818.83,2
ORD10126,2022-02-09,CUST1081,Lata Bose,South,Telangana,Furniture,Storage,5131.33,521.89,2
ORD10055,2022-02-10,CUST1028,Rohan Srivastava,East,Odisha,Office Supplies,Fasteners,620.42,-17.31,7
ORD10127,2022-02-11,CUST1132,Rohit Yadav,Central,Madhya Pradesh,Office Supplies,Binders,1669.05,225.55,2
ORD12282,2022-02-11,CUST1039,Seema Mittal,West,Goa,Office Supplies,Binders,1408.97,204.62,2
ORD11339,2022-02-13,CUST1028,Rohan Srivastava,East,Odisha,Furniture,Tables,25538.49,982.28,3
ORD12011,2022-02-13,CUST1214,Ishaan Bhosale,Central,Madhya Pradesh,Electronics,Laptops,32106.47,2134.7,2
ORD11843,2022-02-15,CUST1209,Rajesh Bansal,North,Uttar Pradesh,Electronics,Accessories,2032.9,255.63,1
ORD10676,2022-02-16,CUST1246,Shanti Abraham,Central,Jharkhand,Office Supplies,Envelopes,727.55,135.87,2
ORD12455,2022-02-17,CUST1160,Durga Gupta,North,Delhi,Office Supplies,Paper,799.29,64.6,2
ORD12240,2022-02-19,CUST1246,Shanti Abraham,Central,Jharkhand,Electronics,TVs,42646.16,2478.42,2
ORD10879,2022-02-21,CUST1092,Rajesh Pandey,East,Odisha,Furniture,Tables,10242.13,1092.17,4
ORD11414,2022-02-22,CUST1168,Pranav Tiwari,West,Gujarat,Furniture,Sofas,16007.05,1220.89,1
ORD12031,2022-02-22,CUST1224,Preeti More,West,Gujarat,Office Supplies,Paper,2268.34,483.69,5
ORD12169,2022-02-22,CUST1091,Pranav Choudhary,South,Tamil Nadu,Office Supplies,Paper,1049.09,221.8,2
ORD10012,2022-02-23,CUST1245,Sneha More,West,Gujarat,Furniture,Sofas,35739.22,-993.83,6
ORD11151,2022-02-24,CUST1036,Meera Goel,East,Assam,Furniture,Bookcases,11737.89,854.71,1
ORD10489,2022-02-25,CUST1190,Vikram Desai,East,Jharkhand,Electronics,Tablets,28497.22,2955.59,1
ORD10159,2022-02-26,CUST1186,Kavya Sharma,South,Andhra Pradesh,Electronics,Accessories,4234.85,644.6,4
ORD11791,2022-02-26,CUST1224,Preeti More,West,Gujarat,Office Supplies,Labels,1270.88,426.42,3
ORD10343,2022-02-27,CUST1223,Sita Arora,West,Maharashtra,Office Supplies,Labels,1022.05,126.26,3
ORD10890,2022-02-27,CUST1070,Dev Joseph,North,Himachal Pradesh,Electronics,Laptops,34111.41,3078.08,3
ORD11501,2022-02-27,CUST1213,Parvati Tripathi,South,Karnataka,Office Supplies,Pens & Pencils,992.95,252.16,1
ORD11702,2022-02-28,CUST1117,Komal Joshi,South,Kerala,Furniture,Bookcases,5344.39,-633.41,7
ORD11804,2022-02-28,CUST1100,Sneha Verma,South,Andhra Pradesh,Electronics,Laptops,37375.74,3548.79,3
ORD12027,2022-02-28,CUST1028,Rohan Srivastava,East,Odisha,Electronics,Cameras,40194.28,4992.62,3
